typing.Literal[<no_default>],timestamp,value_type,value,timestamp_new
1030,2023-02-04T15:48:49.637115+00:00,P2,3,2023-02-04 15:48:50+00:00
1034,2023-02-04T15:51:29.616473+00:00,P2,1,2023-02-04 15:51:30+00:00
1036,2023-02-04T15:54:09.827499+00:00,P2,3,2023-02-04 15:54:10+00:00
1040,2023-02-04T15:56:50.125764+00:00,P2,3,2023-02-04 15:56:50+00:00
1046,2023-02-04T15:59:30.614445+00:00,P2,3,2023-02-04 15:59:31+00:00
1050,2023-02-04T16:02:10.773376+00:00,P2,4,2023-02-04 16:02:11+00:00
1052,2023-02-04T16:04:50.843963+00:00,P2,5,2023-02-04 16:04:51+00:00
1056,2023-02-04T16:07:30.946371+00:00,P2,2,2023-02-04 16:07:31+00:00
1060,2023-02-04T16:10:10.880820+00:00,P2,3,2023-02-04 16:10:11+00:00
1066,2023-02-04T16:12:51.189601+00:00,P2,3,2023-02-04 16:12:51+00:00
1070,2023-02-04T16:15:31.136530+00:00,P2,3,2023-02-04 16:15:31+00:00
1072,2023-02-04T16:18:11.148587+00:00,P2,2,2023-02-04 16:18:11+00:00
1076,2023-02-04T16:20:51.294816+00:00,P2,3,2023-02-04 16:20:51+00:00
1082,2023-02-04T16:23:31.939685+00:00,P2,4,2023-02-04 16:23:32+00:00
1084,2023-02-04T16:26:11.683153+00:00,P2,4,2023-02-04 16:26:12+00:00
1090,2023-02-04T16:28:51.844003+00:00,P2,5,2023-02-04 16:28:52+00:00
1092,2023-02-04T16:31:32.087274+00:00,P2,3,2023-02-04 16:31:32+00:00
1096,2023-02-04T16:34:11.907804+00:00,P2,3,2023-02-04 16:34:12+00:00
1102,2023-02-04T16:36:52.303912+00:00,P2,3,2023-02-04 16:36:52+00:00
1104,2023-02-04T16:39:32.440241+00:00,P2,3,2023-02-04 16:39:32+00:00
1108,2023-02-04T16:42:12.888425+00:00,P2,2,2023-02-04 16:42:13+00:00
1112,2023-02-04T16:44:53.251489+00:00,P2,5,2023-02-04 16:44:53+00:00
1116,2023-02-04T16:47:33.253919+00:00,P2,4,2023-02-04 16:47:33+00:00
1122,2023-02-04T16:50:13.102669+00:00,P2,4,2023-02-04 16:50:13+00:00
1124,2023-02-04T16:52:52.657797+00:00,P2,5,2023-02-04 16:52:53+00:00
1128,2023-02-04T16:55:33.072228+00:00,P2,5,2023-02-04 16:55:33+00:00
1132,2023-02-04T16:58:13.343668+00:00,P2,3,2023-02-04 16:58:13+00:00
1136,2023-02-04T17:00:54.195625+00:00,P2,5,2023-02-04 17:00:54+00:00
1140,2023-02-04T17:03:33.831694+00:00,P2,4,2023-02-04 17:03:34+00:00
1144,2023-02-04T17:06:13.720873+00:00,P2,8,2023-02-04 17:06:14+00:00
1150,2023-02-04T17:08:54.223208+00:00,P2,4,2023-02-04 17:08:54+00:00
1152,2023-02-04T17:11:34.055801+00:00,P2,5,2023-02-04 17:11:34+00:00
1156,2023-02-04T17:14:14.142736+00:00,P2,4,2023-02-04 17:14:14+00:00
1162,2023-02-04T17:16:54.667784+00:00,P2,6,2023-02-04 17:16:55+00:00
1166,2023-02-04T17:19:34.922507+00:00,P2,4,2023-02-04 17:19:35+00:00
1170,2023-02-04T17:22:14.670048+00:00,P2,6,2023-02-04 17:22:15+00:00
1174,2023-02-04T17:24:54.507906+00:00,P2,4,2023-02-04 17:24:55+00:00
1176,2023-02-04T17:27:35.324159+00:00,P2,4,2023-02-04 17:27:35+00:00
1180,2023-02-04T17:30:15.035986+00:00,P2,5,2023-02-04 17:30:15+00:00
1184,2023-02-04T17:32:55.356332+00:00,P2,3,2023-02-04 17:32:55+00:00
1190,2023-02-04T17:35:35.398503+00:00,P2,3,2023-02-04 17:35:35+00:00
1194,2023-02-04T17:38:16.061755+00:00,P2,5,2023-02-04 17:38:16+00:00
1198,2023-02-04T17:40:55.764037+00:00,P2,4,2023-02-04 17:40:56+00:00
1202,2023-02-04T17:43:35.335732+00:00,P2,3,2023-02-04 17:43:35+00:00
1206,2023-02-04T17:46:15.448988+00:00,P2,3,2023-02-04 17:46:15+00:00
1210,2023-02-04T17:48:55.684132+00:00,P2,3,2023-02-04 17:48:56+00:00
1212,2023-02-04T17:51:36.328066+00:00,P2,2,2023-02-04 17:51:36+00:00
1218,2023-02-04T17:54:16.188782+00:00,P2,2,2023-02-04 17:54:16+00:00
1220,2023-02-04T17:56:56.937509+00:00,P2,3,2023-02-04 17:56:57+00:00
1224,2023-02-04T17:59:36.881913+00:00,P2,3,2023-02-04 17:59:37+00:00
1230,2023-02-04T18:02:16.598536+00:00,P2,4,2023-02-04 18:02:17+00:00
1234,2023-02-04T18:04:56.773949+00:00,P2,3,2023-02-04 18:04:57+00:00
1238,2023-02-04T18:07:37.295726+00:00,P2,2,2023-02-04 18:07:37+00:00
1240,2023-02-04T18:10:17.290944+00:00,P2,3,2023-02-04 18:10:17+00:00
1246,2023-02-04T18:12:57.612911+00:00,P2,3,2023-02-04 18:12:58+00:00
1250,2023-02-04T18:15:38.242294+00:00,P2,3,2023-02-04 18:15:38+00:00
