typing.Literal[<no_default>],timestamp,value_type,value,timestamp_new
1080,2023-02-04T16:23:31.937579+00:00,humidity,39,2023-02-04 16:23:32+00:00
1086,2023-02-04T16:26:11.683169+00:00,humidity,39,2023-02-04 16:26:12+00:00
1088,2023-02-04T16:28:51.843246+00:00,humidity,39,2023-02-04 16:28:52+00:00
1094,2023-02-04T16:31:32.087298+00:00,humidity,39,2023-02-04 16:31:32+00:00
1098,2023-02-04T16:34:11.907809+00:00,humidity,40,2023-02-04 16:34:12+00:00
1100,2023-02-04T16:36:52.063898+00:00,humidity,40,2023-02-04 16:36:52+00:00
1106,2023-02-04T16:39:32.441871+00:00,humidity,40,2023-02-04 16:39:32+00:00
1110,2023-02-04T16:42:12.890463+00:00,humidity,41,2023-02-04 16:42:13+00:00
1114,2023-02-04T16:44:53.318044+00:00,humidity,41,2023-02-04 16:44:53+00:00
1118,2023-02-04T16:47:33.257304+00:00,humidity,42,2023-02-04 16:47:33+00:00
1120,2023-02-04T16:50:13.102644+00:00,humidity,42,2023-02-04 16:50:13+00:00
1126,2023-02-04T16:52:52.658019+00:00,humidity,42,2023-02-04 16:52:53+00:00
1130,2023-02-04T16:55:33.075436+00:00,humidity,43,2023-02-04 16:55:33+00:00
1134,2023-02-04T16:58:13.343708+00:00,humidity,43,2023-02-04 16:58:13+00:00
1138,2023-02-04T17:00:54.195625+00:00,humidity,43,2023-02-04 17:00:54+00:00
1142,2023-02-04T17:03:33.832890+00:00,humidity,44,2023-02-04 17:03:34+00:00
1146,2023-02-04T17:06:13.720883+00:00,humidity,45,2023-02-04 17:06:14+00:00
1148,2023-02-04T17:08:54.222081+00:00,humidity,45,2023-02-04 17:08:54+00:00
1154,2023-02-04T17:11:34.088413+00:00,humidity,45,2023-02-04 17:11:34+00:00
1158,2023-02-04T17:14:14.142743+00:00,humidity,46,2023-02-04 17:14:14+00:00
1160,2023-02-04T17:16:54.666138+00:00,humidity,46,2023-02-04 17:16:55+00:00
1164,2023-02-04T17:19:34.865239+00:00,humidity,46,2023-02-04 17:19:35+00:00
1168,2023-02-04T17:22:14.669651+00:00,humidity,46,2023-02-04 17:22:15+00:00
1172,2023-02-04T17:24:54.507900+00:00,humidity,46,2023-02-04 17:24:55+00:00
1178,2023-02-04T17:27:35.327649+00:00,humidity,46,2023-02-04 17:27:35+00:00
1182,2023-02-04T17:30:15.040569+00:00,humidity,47,2023-02-04 17:30:15+00:00
1186,2023-02-04T17:32:55.356371+00:00,humidity,47,2023-02-04 17:32:55+00:00
1188,2023-02-04T17:35:35.398336+00:00,humidity,47,2023-02-04 17:35:35+00:00
1192,2023-02-04T17:38:16.060515+00:00,humidity,47,2023-02-04 17:38:16+00:00
1196,2023-02-04T17:40:55.764016+00:00,humidity,47,2023-02-04 17:40:56+00:00
1200,2023-02-04T17:43:35.335711+00:00,humidity,48,2023-02-04 17:43:35+00:00
1204,2023-02-04T17:46:15.448747+00:00,humidity,48,2023-02-04 17:46:15+00:00
1208,2023-02-04T17:48:55.682453+00:00,humidity,48,2023-02-04 17:48:56+00:00
1214,2023-02-04T17:51:36.374013+00:00,humidity,48,2023-02-04 17:51:36+00:00
1216,2023-02-04T17:54:16.187234+00:00,humidity,48,2023-02-04 17:54:16+00:00
1222,2023-02-04T17:56:56.938395+00:00,humidity,48,2023-02-04 17:56:57+00:00
1226,2023-02-04T17:59:36.881930+00:00,humidity,49,2023-02-04 17:59:37+00:00
